language,reviews,percent
en,843914,85.10208753298798
so,17979,1.8130407029100015
unknown,13409,1.3521921567006068
de,9758,0.9840175303963399
af,9476,0.9555800489891081
tl,7186,0.7246515652211619
cy,6839,0.6896593451916958
no,6580,0.6635412328354084
tr,6494,0.6548688094275293
es,6243,0.62955743413244
da,5730,0.5778254200831141
ro,5103,0.5145974029117157
pl,4367,0.44037759328149373
ca,4208,0.4243436941901822
it,3864,0.3896540005586654
nl,3714,0.3745276806612017
fr,3478,0.35072893735585875
id,3426,0.3454851464580714
pt,3410,0.3438716723356752
et,2816,0.2839714455417189
sw,2701,0.2723746002869967
fi,2496,0.2517019630937963
sq,2339,0.23586974826778426
sl,2085,0.2102558465747457
hr,1835,0.18504531341230618
sv,1760,0.17748215346357432
vi,1712,0.17264173109638592
ru,1460,0.14722951366864687
lt,1176,0.11859034799611556
sk,1012,0.10205223824155522
hu,863,0.08702676047674127
zh-cn,833,0.08400149649724853
cs,717,0.07230380910987658
lv,588,0.05929517399805778
ar,495,0.049916855661630274
ko,378,0.03811832614160857
th,297,0.029950113396978166
ja,283,0.02853832353988155
uk,186,0.01875663667285501
bg,133,0.013412003642417831
fa,107,0.01079010819352412
mk,65,0.006554738622234278
he,45,0.004537895969239116
el,40,0.0040336853059903255
zh-tw,19,0.0019160005203454045
ur,17,0.0017143162550458883
bn,5,0.0005042106632487907
hi,2,0.00020168426529951626
kn,2,0.00020168426529951626
ne,1,0.00010084213264975813
mr,1,0.00010084213264975813
gu,1,0.00010084213264975813
ml,1,0.00010084213264975813
