topic,rank,word,probability
0,1,fun,0.024436304
0,2,great,0.0222505
0,3,like,0.021817444
0,4,it's,0.019195557
0,5,games,0.018945778
0,6,really,0.018120281
0,7,good,0.016982004
0,8,love,0.014117914
0,9,play,0.01368453
0,10,best,0.013142509
0,11,just,0.012728694
0,12,played,0.011086717
1,1,product,0.037277717
1,2,free,0.036677588
1,3,received,0.027308036
1,4,play,0.018719967
1,5,good,0.015224616
1,6,not,0.011507488
1,7,buy,0.010173707
1,8,dont,0.010030627
1,9,just,0.009953898
1,10,hate,0.009437453
1,11,life,0.009396329
1,12,like,0.009189271
2,1,not,0.018666498
2,2,like,0.012742693
2,3,just,0.009932104
2,4,dlc,0.009536933
2,5,car,0.0079838205
2,6,no,0.0078558065
2,7,better,0.006306508
2,8,cars,0.006208453
2,9,racing,0.006001739
2,10,buy,0.0058215717
2,11,it's,0.0053496337
2,12,new,0.005331642
3,1,not,0.011968501
3,2,no,0.009864152
3,3,just,0.008134836
3,4,time,0.0070976145
3,5,got,0.0060968115
3,6,fix,0.005194959
3,7,steam,0.0047971355
3,8,day,0.0045776158
3,9,can't,0.0044193733
3,10,like,0.0042853695
3,11,bugs,0.0042787665
3,12,people,0.0041568484
4,1,play,0.027341528
4,2,time,0.018125748
4,3,not,0.017640166
4,4,just,0.01590201
4,5,fun,0.015283921
4,6,hours,0.0151084885
4,7,playing,0.014490795
4,8,don't,0.01094397
4,9,like,0.01063721
4,10,it's,0.010405911
4,11,friends,0.00864585
4,12,people,0.008505118
5,1,players,0.008404199
5,2,play,0.00766174
5,3,mode,0.0071391677
5,4,new,0.0064063333
5,5,maps,0.0060323793
5,6,player,0.0059659793
5,7,community,0.0056081535
5,8,different,0.005607703
5,9,multiplayer,0.0052473545
5,10,not,0.0050883163
5,11,mods,0.0049075847
5,12,golf,0.0048357155
6,1,early,0.15357855
6,2,access,0.14839292
6,3,review,0.14117295
6,4,fun,0.016918004
6,5,good,0.014115638
6,6,great,0.011102192
6,7,like,0.010154081
6,8,it's,0.0095960805
6,9,skate,0.007740246
6,10,love,0.0077143516
6,11,best,0.0065136505
6,12,really,0.006147735
7,1,story,0.008987081
7,2,not,0.008787056
7,3,like,0.008775143
7,4,world,0.008475821
7,5,it's,0.0071275225
7,6,time,0.006351831
7,7,games,0.00599565
7,8,just,0.0055688135
7,9,experience,0.005483668
7,10,gameplay,0.005476508
7,11,feel,0.0053032497
7,12,characters,0.0047788117
8,1,good,0.042644184
8,2,bad,0.021002362
8,3,just,0.018389164
8,4,bugs,0.017288832
8,5,not,0.016379487
8,6,grind,0.013934624
8,7,it's,0.013587271
8,8,long,0.013362132
8,9,easy,0.013319669
8,10,graphics,0.0125485
8,11,average,0.012535442
8,12,fps,0.012162475
9,1,not,0.013888179
9,2,like,0.013212482
9,3,just,0.011843839
9,4,it's,0.008225949
9,5,no,0.00822257
9,6,ai,0.0056230803
9,7,really,0.0054055424
9,8,time,0.0052356026
9,9,units,0.004987012
9,10,don't,0.004975293
9,11,war,0.004630817
9,12,make,0.004580351
