Query Word,Similar Word,Cosine Similarity
game,play,0.7281020879745483
game,games,0.7112737894058228
game,arnt,0.7057212591171265
game,afterall,0.6928187608718872
game,playes,0.6877132654190063
game,grindframe,0.6853547692298889
game,reccomended,0.6742023825645447
game,fun,0.6712234020233154
game,togethaa,0.6657078266143799
game,enought,0.6618852615356445
player,players,0.6969874501228333
player,single,0.5629603862762451
player,alienate,0.5551649928092957
player,retention,0.5381233096122742
player,singeplayer,0.5352346897125244
player,alienating,0.5350058674812317
player,frustrates,0.525914192199707
player,chooses,0.5146252512931824
player,accommodating,0.5140575766563416
player,godsend,0.5131052136421204
fun,enjoyable,0.6792812347412109
fun,game,0.6712234020233154
fun,adictive,0.6695907711982727
fun,addicting,0.662756085395813
fun,great,0.657634437084198
fun,goofing,0.6550158262252808
fun,enjoy,0.6540151834487915
fun,good,0.6473662257194519
fun,arnt,0.6465848088264465
fun,potentials,0.6417293548583984
good,bad,0.7286829948425293
good,great,0.6979656219482422
good,decent,0.6735203862190247
good,ehh,0.6691858172416687
good,everyonestory,0.6669310331344604
good,nice,0.6666148900985718
good,fun,0.6473662257194519
good,lovley,0.6437665820121765
good,badaudience,0.6437438726425171
good,gamepros,0.6376692652702332
bad,good,0.7286829948425293
bad,badaudience,0.6684236526489258
bad,ehh,0.6461213827133179
bad,everyonestory,0.6318918466567993
bad,earrape,0.6269850730895996
bad,awful,0.6232070922851562
bad,terrible,0.6012136936187744
bad,decent,0.5810144543647766
bad,benign,0.5693762898445129
bad,asbestosis,0.5623295307159424
story,storyline,0.7525612711906433
story,lore,0.7231609225273132
story,intertwined,0.6439487338066101
story,plot,0.6357644200325012
story,unfold,0.6350640058517456
story,runners,0.6317513585090637
story,natah,0.6255115270614624
story,cinematics,0.623362123966217
story,quests,0.6222488880157471
story,narrative,0.6215977072715759
graphics,visuals,0.7534131407737732
graphics,graphic,0.7528417706489563
graphics,suprisingly,0.6983141303062439
graphics,beautiful,0.6856094598770142
graphics,stunning,0.6535683274269104
graphics,looks,0.6364033222198486
graphics,gfx,0.6318515539169312
graphics,skybox,0.6177231669425964
graphics,moly,0.6121749877929688
graphics,smooth,0.6081678867340088
multiplayer,online,0.75164395570755
multiplayer,singleplayer,0.7091646790504456
multiplayer,coop,0.6872820854187012
multiplayer,pvp,0.6595293879508972
multiplayer,godsend,0.6566116213798523
multiplayer,underbaked,0.6323129534721375
multiplayer,yessingleplayer,0.6315901875495911
multiplayer,mode,0.6296404600143433
multiplayer,campaigns,0.6292200088500977
multiplayer,splitscreen,0.6290873885154724
update,hotfix,0.6765289902687073
update,edit,0.6748637557029724
update,dec,0.6631374359130859
update,patch,0.6566813588142395
update,updating,0.6566450595855713
update,november,0.6563833951950073
update,hotfixed,0.6531863808631897
update,updates,0.6516807079315186
update,camel,0.6480541825294495
update,jul,0.6436262130737305
steam,deck,0.7440784573554993
steam,egs,0.6327207088470459
steam,eulas,0.6299423575401306
steam,psn,0.6298074126243591
steam,referral,0.623162031173706
steam,steams,0.6194459199905396
steam,gamepass,0.617800772190094
steam,unlink,0.5957736372947693
steam,origin,0.5921947956085205
steam,proton,0.581363320350647
